"t1","t2","t3","time","ResponseId","Confidence in answer","Previous stats analysis","Stats software","Knowledge software","Knowledge stats","Knowledge Bayesian","Strategy","Affect of choice","Education","alpha","beta","condition","WIP_alpha","WIP_beta","IP_alpha","IP_beta"
500.72,85.169,282,867.889,"R_1gjBFDmF5qW813p",4,"Yes","R and brms","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","I tried to set the intercept somewhere near the mean value provided from the previous literature with a spread that only included possible values. For the β parameter I tried to select weakly informative priors.","I hope that by restricting the priors to only include possible values will result in a well specified model.","Doctorate","N(3.74,0.43)","N(-0.08,0.76)","1t",TRUE,TRUE,FALSE,FALSE
255.224,42.689,211,508.913,"R_3RvXBy6oGiRkMku",3,"Yes","R","Very knowledgeable","Very knowledgeable","Very knowledgeable","I will typically rely on previous literature, especially meta-analyses. Depending on the quality of study (e.g., sample size), I will widen my prior. I try to avoid ""diffuse"" priors as they tend to still have an impact on results and often produce biased results when sample sizes are small.","It depends on how closely the priors and the data likelihood match and how informative the priors are. I wouldn't be able to know until I conducted a sensitivity analysis, and then I would have to explain how the prior was/wasn't impactful.","Doctorate","t(3.53,0.91)","t(-0.06,0.73)","0c",TRUE,TRUE,FALSE,FALSE
319.29,32.96,195,547.25,"R_1PUm58Je8Ilvi3L",3,"Yes","R","Extremely knowledgeable","Very knowledgeable","Moderately knowledgeable","based on exprience","I do not know","Master's degree (eg. MA, MS)","t(3.24,0.41)","N(-0.06,0.53)","0c",NA,NA,NA,NA
319.39,115.139,186,620.529,"R_1pYf5aWEfH5MRAk",3,"Yes","R","Extremely knowledgeable","Very knowledgeable","Moderately knowledgeable","Information given on typical results and belief that expansive vs constrictive would have little impact.","Unlikely to show a difference in conditions without very strong evidence.","Bachelor's degree (eg. BA, BS)","N(3.43,0.38)","t(-0.02,0.27)","1t",FALSE,FALSE,TRUE,TRUE
674.992,260.973,281,1216.965,"R_3gXYAxiUh8vAijU",3,"Yes","R, brms","Very knowledgeable","Extremely knowledgeable","Very knowledgeable","For the intercept, it sounded like there was a great deal of prior knowledge so I used a stronger prior. For the contrast, I used a weaker prior to reflect this is more exploratory.","In such a simple model, I don't think these priors will affect the results too much, especially because they were not super strong.","Doctorate","N(3.42,0.33)","t(0,1)","2t",FALSE,TRUE,TRUE,FALSE
296.756,321.902,408,1026.658,"R_2V8UArpEhr5PMBe",3,"Yes","GLMM's in R, both in frequentist and Bayesian frameworks","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","First prior (Intercept) was based on the data provided and I tried to get the prior as close as possible to the results from the meta analysis.

Second prior (beta) was set to be as uninformative as possible as the information provided did not allow me to use any information for this prior. I usually use uniform distribution priors for this, but that choice was not possible here.
","Depends on n in the study. The beta prior should not influence the results much, but the intercept one should ,","Doctorate","N(3.42,0.59)","t(0,1)","0c",FALSE,FALSE,TRUE,FALSE
433.546,76.074,415,924.62,"R_3PcMc31ARNR6X7r",4,"Yes","R","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","For alpha, I wanted to ensure that most of the distribution was less than 50 pumps, and that the mode was somewhere about 30 or so. I didn't have any information on beta, so I went for a wide distribution.","Depending on the sample size of the experiment, the prior might dominate the evidence for alpha, however I would expect the data to not be too far from this distribution, so it's probably not a problem. I think I set the prior distribution for beta to be quite uninformative, so the prior should have minimal influence on the posterior distribution.","Master's degree (eg. MA, MS)","N(3.23,0.41)","t(0.08,0.93)","1t",FALSE,FALSE,TRUE,FALSE
182.004,195.252,205,582.256,"R_ODPxY4DCIVyCwRX",3,"Yes","R","Very knowledgeable","Very knowledgeable","Very knowledgeable","Using the results from the meta-analysis to put the bulk of the density in that range","Minimally unless the current dataset differs substantially from the studies included in the meta-analysis","Master's degree (eg. MA, MS)","N(3.08,0.44)","t(-0.02,1)","1t",FALSE,FALSE,TRUE,FALSE
360.301,426.452,529,1315.753,"R_2uDGh9CcXclr0dQ",4,"Yes","R","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Intercept: I based it on the data from the described meta-analysis. 
Mean difference parameter: although tempted to base it on my hypothesis on the direction of the difference after trying both displayed arm positions. Finally, I decided to go with a weak not opinionated prior.","I think they will not have a big impact on the results, although this is assuming the 22 studies of the meta-analysis are comparable to the one taking place.","Doctorate","N(3.53,0.3)","t(0,1)","0c",FALSE,TRUE,TRUE,FALSE
349.841,104.91,338,792.751,"R_qQoOpCEANczOTK1",5,"Yes","bayesian models","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","'-trying to adjust the mean or mode towards ""neutral"" values (i.e. optimal number of pumps, ratio close to 1)
- setting a prior shape that is wide enough to leave the data drive the posterior sampling, but not too wide as to allow ridiculously absurd values","'- I think they are wide enough to not affect the results noticeably if there is enough data
- if we had had more knowledge about the expected results (e.g. confirmatory analysis) and we would have a small dataset, I would have set more narrow priors around the expected results, and then tried different priors to see how sensitive to the priors were the posteriors","Doctorate","t(4,0.46)","t(-0.04,0.94)","1t",TRUE,TRUE,FALSE,FALSE
252.955,69.744,306,628.699,"R_2CBQh5LTIoAU6eh",2,"Yes","Rstan / brms for this type of analysis","Moderately knowledgeable","Very knowledgeable","Slightly knowledgeable","Students t is default for some analyses in brms and may be more conservative i believe","If there is sufficient data then the prior should not be very influential. I am not too sure whether there us sufficient data in your example","Other (please specify):","t(3.5,0.6)","t(0,0.6)","2t",NA,NA,NA,NA
364.623,174.71,122,661.333,"R_1o5v2HLiz8tiBuF",1,"Yes","Stata","Moderately knowledgeable","Slightly knowledgeable","Not knowledgeable at all","Numbers of prior research","Not sure","Doctorate","t(3.06,0.37)","t(0.26,0.94)","0c",NA,FALSE,NA,TRUE
530.42,159.026,102,791.446,"R_129jVtoWda8Wx4E",3,"Yes","R","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","Weakly informative","With lots of data hopefully very little","Doctorate","N(3.98,0.84)","N(0.1,0.86)","2t",FALSE,TRUE,FALSE,FALSE
253.949,120.154,153,527.103,"R_2bKvWbZExjPuebw",3,"Yes","brms","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Minimize the differences and allow for large variance.","Minimally.","Doctorate","t(3.52,0.6)","t(0,0.47)","2t",TRUE,TRUE,FALSE,FALSE
416.4,88.918,139,644.318,"R_Wcz6QTgavrEeAql",4,"Yes","R","Very knowledgeable","Extremely knowledgeable","Very knowledgeable","Follow prior study empirical evidence for intercept. Skepticism for beta.","Down-weight any observed effect of stance.","Master's degree (eg. MA, MS)","t(3.54,0.34)","t(-0.04,0.32)","1t",FALSE,FALSE,TRUE,TRUE
254.681,35.221,155,444.902,"R_1jNzIGCJk7kAwGp",2,"Yes","pystan","Very knowledgeable","Very knowledgeable","Very knowledgeable","Didn't have much intuition on the intercept.  For the mean difference, I thought 0 with some certainty, so I decreased the variance.","I think the priors will be pretty strong, as there aren't that many data points","Doctorate","t(3.96,0.5)","t(0.02,0.41)","0c",NA,FALSE,FALSE,TRUE
352.701,102.413,3136,3591.114,"R_1K8YIdnUSuoUTCe",2,"Yes","R","Moderately knowledgeable","Moderately knowledgeable","Slightly knowledgeable","I didn't feel confident in the prior results giving me enough information to set a stronger prior, so I attempted to incorporate toom for more uncertainty.","Probably not that much. I think I specified a weaker prior, but I am not sure.","Master's degree (eg. MA, MS)","t(3.15,0.7)","t(0,0.7)","0c",TRUE,TRUE,FALSE,FALSE
375.911,90.958,334,800.869,"R_3PER8AbmnkL8In1",3,"Yes","brms","Moderately knowledgeable","Moderately knowledgeable","Slightly knowledgeable","For choosing the intercept, given the information before, I chose the center of the distribution to be consistent with the previous number of average pumps from the meta analysis.  
For the mean difference, since we didn't have any prior information on whether one condition is more risk averse than other, I chose priors so that the conditions are given an equal weight.","I think the priors will have little effect on the final inference. 
Also, I think the model should include a random effect for each participant, since each participant repeats the study 30 times.  Unless I misunderstood the experiment.","Master's degree (eg. MA, MS)","t(3.5,0.22)","t(0,0.6)","2t",FALSE,TRUE,TRUE,FALSE
677.499,105.164,554,1336.663,"R_2RQSRRX6pWvM7ZH",2,"Yes","R with the brms package","Moderately knowledgeable","Very knowledgeable","Moderately knowledgeable","I chose the prior for the intercept to eliminate density at large numbers of pumps said since I know that the balloon will pop before hitting 100 pumps. I chose the prior for the difference parameter to be located at the point of no difference with minimal spread since I am reasonably certain that there should be no effect of a participant’s stance on task performance. It would take a lot of evidence to convince me that there is an effect of stance on task performance, and my prior reflects this skepticism.","Since my priors are relatively narrow, I suspect that my priors will pull posterior densities toward a finding of no difference and an intercept between 50 and 100.","Bachelor's degree (eg. BA, BS)","t(3.92,0.21)","N(0,0.2)","1t",TRUE,FALSE,NA,TRUE
292.773,315.034,364,971.807,"R_6lM8OCb22oSkZpv",3,"Yes","python: e.g. scipy","Very knowledgeable","Very knowledgeable","Very knowledgeable","center distribution around mean, exclude very unlikely values","moderate, probably still not very informative","Master's degree (eg. MA, MS)","t(3.75,0.58)","t(-0.06,0.8)","1t",TRUE,TRUE,FALSE,FALSE
456.025,229.86,332,1017.885,"R_1qeRkAvp7D4pJk0",3,"Yes","Stan, JAGS, R","Very knowledgeable","Moderately knowledgeable","Very knowledgeable","I wanted to center the weigh of the prior distribution for the intercept near values taken from the metaanalysis. I wanted to make sure that even extreme values had some support","It depends on how informative the data are.","Doctorate","t(3.99,0.7)","t(-0.02,0.7)","1t",TRUE,TRUE,FALSE,FALSE
381.996,184.482,368,934.478,"R_4MbVbNPpSB3ljd7",4,"Yes","R","Extremely knowledgeable","Moderately knowledgeable","Moderately knowledgeable","prior studies had means of 24-44 and the bulk of the density mass in the intercept prior fell in the 0-50 range in the plot with some fluctuations in the tail for more extreme values. i assume no a prior difference from power posing which is the best i can do, given the background information provided earlier.","it will help the model efficiently sample the space of plausible parameter values.","Doctorate","t(3.15,0.35)","t(0,0.2)","2t",FALSE,FALSE,TRUE,TRUE
294.107,396.83,241,931.937,"R_u2JsHbhG9nAMmg9",2,"Yes","Stan","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Wanted to rule out mechanistically implausible values (>128), center the intercept roughly on the pump quantity observed in the past, not assume the direction of the effect (prior predictive mean diff of 0), but allow the model to consider for reasonable sized -- though not implausibly large -- effects.","Hopefully it'll regularize things by downweighting large possible effects or and more or less ruling out mechanistically impossible ones, leaving the model more capable of deciding which plausibly sized effects (or lack thereof) are most consistent with the data.","Master's degree (eg. MA, MS)","N(3.56,0.53)","N(0,0.81)","2t",TRUE,TRUE,FALSE,FALSE
323.454,208.963,160,692.417,"R_1gvf0uk8WuqYXoE",2,"Yes","R","Extremely knowledgeable","Very knowledgeable","Very knowledgeable","If the prior predictive distribution is yielding results similar to those expected from previous analysis, then our pre-experimental estimates are about what we would expect for no difference associated with experimental setup.","Yes, but that is proportional to the number of observations in the study. I'm most concerned about beta.","Doctorate","t(3.56,0.27)","N(0,1)","2t",NA,FALSE,NA,FALSE
410.011,83.744,112,605.755,"R_3X9NhpNODztoKlz",2,"Yes","R","Extremely knowledgeable","Moderately knowledgeable","Slightly knowledgeable","mean 0 and sd 1 is what I usually use to give a reasonable spread around 0 on either side","If we have enough data, then it won't affect much.","Master's degree (eg. MA, MS)","N(4,1)","N(0,0.98)","2t",NA,TRUE,FALSE,FALSE
199.918,50.007,103,352.925,"R_2bGVOFH5cU484d9",3,"Yes","Stan","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Generally centered around what theory would predict but with a t-distribution to account for cognitive bias that might exist. A slightly narrower tail (normal distribution) with effect, B, to be a bit more conservative. Assuming no difference.","Minimally, with sufficient data.","Master's degree (eg. MA, MS)","t(3.88,0.86)","N(0,0.6)","2t",NA,TRUE,NA,FALSE
310.791,308.979,172,791.77,"R_1hMzMYpBweJpzUS",4,"Yes","R (lme4) and Stan (brms, rstan)","Extremely knowledgeable","Very knowledgeable","Very knowledgeable","trying to find weakly informative priors that have most mass on reasonable values given the meat-analytic estimates. 
In general I believe that difference priors should be zero-centered. So this is what I chose for those.
Given the rather restricted nature of the task and the possible data, normal priors seemed more reasonable than t priors.","Not much as they are hopefully weakly informative.","Doctorate","N(3.49,0.42)","N(0,1)","2t",TRUE,TRUE,FALSE,FALSE
468.026,489.618,361,1318.644,"R_3gTrrBDLpmA3MXW",3,"Yes","R, brms","Very knowledgeable","Very knowledgeable","Very knowledgeable","I used a kind of posterior-passing strategy. When studies varied from 22 to 44, the posterior is narrower in between. I had to grab my calculator and use log to find appropriate values.","If I get unrepresentative results, the priors will ameliorate that. Also, it should give a posterior which is more interpretable as the sum of the current knowledge. 

Depends on the number of participants how strong that effect is. The more, the less effect of priors.","Doctorate","N(3.42,0.25)","t(0.32,0.28)","0c",FALSE,NA,TRUE,NA
284.579,60.261,170,514.84,"R_u25bVYv2L5d7fPj",3,"Yes","R","Moderately knowledgeable","Very knowledgeable","Slightly knowledgeable","Weakly informative priors as I do not have any domain knowledge.","The data will drive the results since the priors are weak.","Doctorate","t(3.52,1)","t(0.04,0.8)","0c",TRUE,TRUE,FALSE,FALSE
192.451,74.874,115,382.325,"R_AdtxPkRDX0aXGE1",2,"Yes","R","Extremely knowledgeable","Extremely knowledgeable","Moderately knowledgeable","Rough attempt to match the numbers I remember from the previous text description. Mean 0 for effect size with small-ish SD, larger SD for intercept => overall effect.","Pretty strongly - Poisson GLMs are less informative than one might think (especially with a mean of ~40 => variance of 1600).","Doctorate","N(3,1)","t(0,0.8)","1t",FALSE,TRUE,TRUE,FALSE
265.196,39.595,146,450.791,"R_2wRbkFu2uOZX6Wg",4,"Yes","R","Extremely knowledgeable","Extremely knowledgeable","Extremely knowledgeable","For alpha monitor the right tail and make it feasible (not too much mass > 140)
For beta, give it a heavier tail, but don't give it much mass above about 1.3x because that's a large number when multipled with alpha","Depends on the amount of data. It's possible. The heavy tial might be a mistake","Doctorate","N(3.59,0.97)","t(-0.56,0.27)","1t",TRUE,TRUE,FALSE,FALSE
363.284,162.699,236,761.983,"R_3Pvj88LorbBu9FD",2,"Yes","R/brms/stan","Moderately knowledgeable","Moderately knowledgeable","Slightly knowledgeable","More informative for the intercept than the slope. Since the slope is presumably the more interesting and less well understood of the two.","Ideally improve model fit and convergence without disallowing the data from telling me my prior assumptions are entirely wrong.","Master's degree (eg. MA, MS)","t(3.87,0.52)","N(0.1,0.88)","1t",TRUE,TRUE,TRUE,FALSE
320.072,531.817,175,1026.889,"R_2aVsqwa176KGEvh",2,"Yes","R","Moderately knowledgeable","Moderately knowledgeable","Slightly knowledgeable","I wanted my prior for the intercept to reflect previous results. I also wanted to avoid having a prior for the intercept that included impossible values. For the Beta prior, I centered on zero, and kept it relatively flat (but still normally distributed).","I don't think my choice of priors will have a strong effect on the results.","Doctorate","N(3,0.63)","N(-0.08,1)","0c",FALSE,FALSE,TRUE,TRUE
191.573,131.167,339,661.74,"R_UMCMsRnIIoTxeUN",3,"Yes","R, brms, sometimes hand-coded STAN","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","I wanted my choice to have a regularizing effect such that a small sample will still yield insights into the data-generating process that are not completely nonsensical given the current state of knowledge (the numbers from the meta-analysis).","Hopefully it would have such a regularizing effect.","Doctorate","t(3.62,0.62)","t(0.76,0.6)","1t",TRUE,TRUE,NA,FALSE
525.852,271.409,690,1487.261,"R_XYWK81rRIMS4V7b",3,"Yes","R","Very knowledgeable","Very knowledgeable","Very knowledgeable","Scale of priors was chosen to exclude values greater than 128, with most likely values between 0 and 64. Normal prior chosen for the intercept alpha, since typical behaviour in this experiment seems to be well understood. Prior for beta centred at zero (no difference between treatments), but using Student's t to reflect greater uncertainty about the effect.","The magnitude of the effect will shrink slightly towards zero, compared to a less informative prior.","Doctorate","N(3.52,0.89)","t(0,1)","2t",TRUE,NA,FALSE,NA
630.635,132.665,532,1295.3,"R_2eWqlWdFYeq0P52",3,"Yes","R, followed by Stan","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","I opened a calculator to experiment with the values in the vignette given my information about the link function. What's ln(45), what's ln(25), etc, to bound the range of values we should see. 

I try to set the intercept wide and treatment effects small. As a social scientist I am more confident that treatment effects are small than I am that I know the exact location of both means, which guides that heuristic.

One thing I couldn't do but wish I could is parametrize the estimating equation as log(lambda) = mu_k, where k is treatment. This way you can set identical priors for both groups. It's a different strategy that doesn't get the idea that ""you have more precise information that the effect will probably be small"" but it can be nice to apply exactly the same prior to both groups directly.","Compared to a flat prior, my hope is basically that the priors help rule out extreme values in the posterior tails. I expect a minimal shrinkage of the treatment effect estimate but hopefully more reduction in variance.","Master's degree (eg. MA, MS)","t(3.5,0.32)","N(-0.04,0.29)","0c",TRUE,NA,FALSE,NA
1974.397,71.531,157,2202.928,"R_3KZvxwDo4bk5loS",1,"Yes","Python","Very knowledgeable","Very knowledgeable","Moderately knowledgeable","When I got to the selection page, I did not remember enough of the background information to make any reasonable decisions, so I left the defaults unchanged.","It depends on how much data I have.","Doctorate","t(3.5,0.6)","t(0,0.6)","1t",NA,NA,NA,NA
18.727,36.024,318,372.751,"R_XB9gGBiq4Fnqe2J",4,"Yes","R + matlab","Very knowledgeable","Very knowledgeable","Very knowledgeable","For the intercept, I go for large predicted pumps (mu = 4), and then go for a larger variance.
For the slope, I first assume zero-centered distribution, then selected a larger variance. 
For both, I selected t-distribution over Gaussian, because t-distributions have less heavy tails relative to Gaussians, allowing for a softer control over the parameters.","if the sample size is small, the prior will have a relatively large impact; as the sample size increases, the impact of prior will be reduced.","Doctorate","t(4,1)","t(0,1)","0c",NA,FALSE,FALSE,FALSE
464.031,135.676,349,948.707,"R_2PcamQdeDTp1Y5w",1,"Yes","R, brms package","Moderately knowledgeable","Moderately knowledgeable","Moderately knowledgeable","To find a trade-off between the (strong) information from the meta-analysis and still let room for unexpected values.","It will depend on the amount of data that will be collected. I tried not to bias results too much.","Doctorate","t(3.57,0.39)","t(-0.04,0.36)","2t",TRUE,TRUE,FALSE,FALSE
58.79,93.822,118,270.612,"R_1Fzv9TYKlpBQupe",3,"Yes","R","Very knowledgeable","Moderately knowledgeable","Moderately knowledgeable","Tried to estimate based on previous results what would be a sensible range and change","Depends on sample size, I don't think it will have much influence","Master's degree (eg. MA, MS)","N(3.49,0.38)","t(0.02,0.73)","0c",NA,TRUE,NA,FALSE
